Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
Omani olen jakanut kahteen salkkuun : tylsät ( Kone , Metso , Orion , Wärtsilä , Kesko A , Elisa , 	Nordea 	, Valmet ja tietysti Nokia . 
Tonni on pikkusumma mutta jos Sinulla ei muuta ole , niin valitse esim. Sampo ( Nalle ) , tai UPM ( Nalle ) , tai 	Nordea 	( Nalle ) , tai Kone ( Herlin ) , tai Kesko ( kauppiaat ja ruuan myynti ei loppune ) . 
Onko USD-tilillä esim. 	Nordeassa 	myös talletussuoja ? 
Itse aloitin samalla summalla eli tonnilla elokuun lopussa avaamalla 	Nordeassa 	arvo-osuustilin ( välityspalkkio kaupankäynnistä 8 euroa ja tilinhoitomaksu muistaakseni 1,75 euroa kuukausittain , eli Nordnet on käsittääkseni halvempi ) . 
Laskeskelin tuossa että P/E tälle puljulle on 373 	Nordean 	vastaava luku on P/E 12 Onko kyseessä siis kupla vai mikä perustelu tuolle huikealle kasvuvaatimukselle . 
Näitä Sammon vaihtoasioita näyttäisi nykyisin hoitavan 	Nordea 	, 
Sampo-A sarjaa " Näitä Sammon vaihtoasioita näyttäisi nykyisin hoitavan 	Nordea 	, 
" Mistäpä olet keksinyt että 	Nordea 	noita selvittää ? 
Sampo Oyj on Pohjoismaiden suurimpia finanssialan yhtiöitä ja omistaa muun muassa If-vakuutusyhtiön sekä huomattavan osan 	Nordeasta 	, 
Mutta ei tuota kisaa siltikään millään hyvillä osakkeilla ( tyyliin 	Nordea 	, Kone ) voiteta . 
Talvivaaran osakkeilla shortanneille haluttiin vähän paukasta tappiota 	Nordean 	( ja muutaman muun tahon ) toimilla . 
Jos 	Nordea 	siinä ottaakin lopulta takkiin niin se kokonaisuudessa merkitse mitään . 
Neste Oilin ostolaidalla ahkerimmin häärineen 	Nordean 	kuuluukin puolustella sijoitustaan : - Neste Oil , Outotec ja Orion ovat analyytikkokonsensuksen perusteella euro-osakkeiden pohjasakkaa . 
	Nordea 	oli kylläkin oikeassa Neste Oilin suhteen alkuvuonna , kun muut olivat väärässä , mutta Nordea luuli että Neste Oilin parempi tulos tulisi olemaan peräisin palmuöljyn hinnasta . 
Nordea oli kylläkin oikeassa Neste Oilin suhteen alkuvuonna , kun muut olivat väärässä , mutta 	Nordea 	luuli että Neste Oilin parempi tulos tulisi olemaan peräisin palmuöljyn hinnasta . 
Voihan vitsi , paljon kiitoksia hra 	Nordea 	sucks laskennastasi joka on varmastikin paikkansa pitävä . 
Lopputoteamuksena kehoitan lukemaan hra 	Nordea 	sucksin järkiperäisen laskelman käteisen rahan edullisuudesta . 
	Nordean 	rouvat olivat vauhdissa ............................................................. 
	Nordea 	vaihtanut suositustaan , ennen osake oli " pidä " ja nyt " osta " . 
" 	Nordea 	odottaa Finnairin löytävän tarvittavat säästöt jo lähipäivien aikana . 
	Nordean 	mielestä Finnairin kurssi on nousussa , se on muuttanut ohjettaan osakkeen suhteen , ennen oli " pidä " , nyt on osta . 
	Nordea 	näkee että muutokset saadaan aikaiseksi ja tilanne alkaa parantua . 
	Nordea 	saa kuvitella Finnairin kurssista mitä haluaa . 
Kuumotti vaan siitä syystä , kun maksoin 	Nordean 	verkkopankkitunnuksilla ja se meni yrityksen sivuilta osoitteeseen tyyliin merita . 
Merita nimeähän ei ole yli 10 vuoteen ollut käytössä 	nordealla 	? 
Kuulin että Hyvinkäällä olisi avattu oikea vanhanajan kunnon parturi , jossa saa myös parranajonkin , 	Nordean 	vieressä Hämeenkadulla . 
	Nordeasta 	nostaessa taitaa hävitä vielä jokusen satasen lisää . 
Säkylään on rakenteilla uusi S-market kuten jo mainittiin , uusia rivitaloja ja kerrostaloja on jo rakennettu ja rakenteilla , säkylästä löytyy S-marketin lisäksi mm. Siwa , K-market , Apteekki , Kahvila välipala ( matkahuolto ) , ainakin 3 parturi-kampaajaa , kirjakauppa , valokuvausliike , alusasukauppa , säästöpankki , osuuspankki ja 	nordea 	, osuuspankin kiinteistökeskus , eräpuoti , r-kioski , kultasepänliike , tietotekniikkaliike , spec-savers , kaksi kukkapuotia , kuten jo mainittiin torstaisin maakunnan suurin ja paras tori , yms. . 
	nordea 	on pankkini , vaikuttaako pankin käyttöön jos ne poistaa . 
	Nordea 	pankki ei taidä käyttää Javaa , joten sen poistaminen käytöstä ei haittaa . 
HS 21.2.2014 : " Uutiset Talous 	Nordea 	heikentää Gold-korttien matkavakuutuksen ehtoja 21.2.2014 11:03 5 Anni Lassila Helsingin Sanomat Nordea heikentää Visa Gold- ja Mastercard Gold - kortteihin kuuluvan matkavakuutuksen ehtoja . 
HS 21.2.2014 : " Uutiset Talous Nordea heikentää Gold-korttien matkavakuutuksen ehtoja 21.2.2014 11:03 5 Anni Lassila Helsingin Sanomat 	Nordea 	heikentää Visa Gold- ja Mastercard Gold - kortteihin kuuluvan matkavakuutuksen ehtoja . 
	Nordean 	pankkitunnuksia vuotanut http://www.uusisuomi.fi/nordeanpankkitunnuks 
Tarkista tästä linkistä vuotaneita pankkitunnuksia 	http://vvv.pankkitunnukset/nordea 	
Eikös 	Nordealla 	MasterCard maksa jotain 50€/vuodessa ? 
Terveisin , Suomi24 Ylläpito Hei , Aktian ja 	Nordean 	verkkomaksut eivät toistaiseksi toimi Treffit Plus - maksuissa . 
Treffien etusivulle ilmestyi : " Teemme parannuksia maksujärjestelmäämme , minkä johdosta maksuliikenteessä on ilmennyt häiriöitä tänään ( 8.7. ) iltapäivällä , ja tällä hetkellä 	Nordean 	ja SP/PoP/Aktian kautta tehdyt maksut eivät onnistu . 
Hei käyttäjät , Uusi maksujärjestelmän toimittajamme ei ole onnistunut korjaamaan ongelmia 	Nordean 	verkkopankkimaksun osalta . 
Tästä syystä palaamme toistaiseksi vanhaan maksujärjestelmään palvellaksemme mahdollisimman hyvin myös 	Nordean 	asiakkaita . 
Danske lopetti täällä jo kassapalvelut ja nyt perässä seuraa 	Nordea 	, 
Danskessa ei ole , 	Nordea 	lopettaa keväällä 2015 ainakin suunnittelevat . 
Maksoitteko linkissä olevien Sampopankin tai 	Nordean 	sivuilta 20% etukäteismaksun vaiko lasku sähköpostiin ?. 
Mitään luottotietohäiriöitä ei ole ja edelleen jatkuvan lainan olen 	Nordealle 	maksanut joka erän ajallaan . 
Piti pankista käydä kysymässä kuinka se tapahtuu ja sain 	Nordeasta 	hyvät ohjeet joilla maksu netin kautta onnistui . 
TÄSSÄ RAJALLA HELPPOA Rajalla helppoa kun tutun osoitteeseen tekee tilauksen , muuten ne eivät sitten perusta vaikka suoraveloitus rahat tulevat suomen 	nordeasta 	
Ilmeisesti 	Nordean 	pankkikortilla saa nostettua käteistä kanarialaisista Otoista ? 
Ja alakerrassa työväen säästöpankki 	nordea 	ja keva . 
	Nordealla 	on ainakin ihan oma sivunsa näille ulkomaan maksuille . 
	Nordean 	tililtä kortilla nostaminen on n 20% kalliimpaa kuin se että vaihtaa käteistä paikan päällä . 
Ja jos olet sen kaksi viikkoa pari kertaa vuodessa niin keskimäärin menetät automaattinostoissa tuhat euroa ( viittä tuhatta euroa kohti ) joka vuosi jos nostat vaikkapa 	Nordean 	tililtä Electronilla tai pankkikortilla . 
Nostan ATM:stä 	Nordean 	kortilla tuon saman 3000 bahtia . 
	Nordean 	vaihtokurssi onkin 1e = 36baht eli 83,30 euroa . 
Nyt minulla on Kasikornissa tili ja 	Nordea 	saa haistaa huilun . 
	Nordean 	sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot Nordea Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia Nordealle provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja Nordeaan ja tämän hetken noin 20% huonommasta Nordean kurssista 12000bahtia Nordealle vielä lisää . 
Nordean sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot 	Nordea 	Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia Nordealle provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja Nordeaan ja tämän hetken noin 20% huonommasta Nordean kurssista 12000bahtia Nordealle vielä lisää . 
Nordean sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot Nordea Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia 	Nordealle 	provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja Nordeaan ja tämän hetken noin 20% huonommasta Nordean kurssista 12000bahtia Nordealle vielä lisää . 
Nordean sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot Nordea Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia Nordealle provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja 	Nordeaan 	ja tämän hetken noin 20% huonommasta Nordean kurssista 12000bahtia Nordealle vielä lisää . 
Nordean sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot Nordea Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia Nordealle provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja Nordeaan ja tämän hetken noin 20% huonommasta 	Nordean 	kurssista 12000bahtia Nordealle vielä lisää . 
Nordean sivuilta ohjeet ja hinnat : Konttoreissa tehdyt euromääräiset käteisnostot Rahaliittoon kuuluvissa EU-maissa Visa Electron - kortilla/kpl = 2,00 € +2 , 5 % Konttoreissa ja/tai automaateilla tehdyt valuuttamääräiset käteisnostot Nordea Pankki Suomen kansainvälisillä korteilla Tanskassa , Iso-Britanniassa , uusissa 1.5.2004 liittyneissä EU-maissa sekä EU-maiden ulkopuolella 2,00 € +2 , 5 % Eli jos nostat 3 x 20000bahtia reissullasi automaatista niin maksat 1500bahtia Nordealle provikkaa , 450bahtia Thaipankille , 250baht ( 2 x 3e ) kertamaksuja Nordeaan ja tämän hetken noin 20% huonommasta Nordean kurssista 12000bahtia 	Nordealle 	vielä lisää . 
Moni on 	Nordean 	kursseja valitellut , ehkä erilainen käytäntö . 
	Nordean 	tililtä sai samaan aikaan 35,23. Se on pankin vaihto meikäläisellä . 
	Nordean 	toimintamalleihin kuuluu sekin etteivät päivitä palvelumaksutilannettasi muutoin kuin että käyt itse kysymässä että miksi minulta veloitetaan sellaisia palveluita joita minulla ei ole tai joita en käytä . 
Yritystakausten provikat on 	Nordealla 	ihan omaa luokkaansa myös . 
Meni vähän aiheen sivuun mutta niin on mennyt rahaakin aiheen sivuun eli 	Nordeaan 	:( 
	Nordean 	kortti / seinästä nostaminen on karkeasti sanottuna yli 20% kalliimpaa kuin tuoda raha käteisenä . 
Elikä jos nostat 5000 euroa seinästä 	Nordean 	tililtä niin häviät 1000 euroa . 
Kannattaisiko avata tili muualta kuin 	Nordeasta 	, 
Otin 	nordeasta 	selvää paljonko kulut ovat , sanoivat 2€+2 , 5% nostetusta summasta . 
Riippuu vähän kummoinen asiakas esim. 	Nordeassa 	on . 
Satunpa olemaan minäkin 	Nordeassa 	avainasiakkaana ja tilisiirto sieltä Thaimaan tilille ( Bangkok Bankin ja Siam Commercial Banki tileille ) maksaa 6,75€ , sisältäen pankin kulut Suomessa . 
Mutta toi 6.75e on ihan oikeutettu sillä pitäähän pankkien elää , jotta pystyvät palkkansa maksamaan ( etenkin näinä vaikeina taloudellisina aikoina ) - Viimeksi kun siirsin niin 	Nordean 	siirtokurssi oli 1e=44.61b kun silloin ns. " oikea kurssi olisi ollut 1e=44,72b . 
Minulla on tapiolan , op : n ja 	nordean 	visa-electron kortit ja s-pankin debit-kortti , mutta mitään niistä ei hyväksynyt ? 
jos maksan 	Nordean 	pankin kautta niin menee 1-4 päivää ennen kuin maksu näkyy heidän tilillä . 
laskun 	Nordean 	kautta niin joutuu odottamaan 1-4 päivää kun maksu näkyy heidän tilillä ja sitten paketti lähtee jakeluun 
http://www.aktia.fi/iban_laskuri AKTIA https://www.op.fi/op?id=51111&tk=/init&srcpl=3 OSUUSPANKKI http://www.nordea.com/Yritykset+ja+yhteis%C3%B6t/Cash+Management/Maksut/Nordean+IBAN+laskuri/936273.html 	NORDEA 	Muiden pankkien laskurit löydätte kun laitatte googleen " ( pankki ) iban laskuri " 
	Nordealla 	se kyllä olisi käynyt ! 
Ja totta on , että esim. Stockan ( 	Nordean 	) MasterCardilla 0 , 5 % : n hyvityksen saa suoraan Stockan kassalla , jos maksaa kortilla . 
Laskua olen yrittäny maksaa , niin 	nordean 	verkkopankkini ei huoli tilinumeroa , heittää aina punasen palkin yläreunaan ja pyytää tarkistaan tilinro !! 
Ainakin 	nordean 	, ja säästöpankin verkkoopankkeihin pääsee vielä win xp 
" Ainakin 	nordean 	, ja säästöpankin verkkoopankkeihin pääsee vielä win xp 
Uskoisin järjestelmäni olevan " turvallinen " - jopa 	Nordean 	mielestä . 
" Uskoisin järjestelmäni olevan " turvallinen " - jopa 	Nordean 	mielestä . 
Homma kuitenkin menee siihen , että jos se murto tapahtuu sinun koneesi kautta ja vaikka se olisikin 	Nordean 	mielestä turvallinen , se on silti sinun vastuulla ja Nordea ei vastaa mitään siitä jos se murto tapahtuisi turvalliseksi säädetyn oman koneen kautta . 
Homma kuitenkin menee siihen , että jos se murto tapahtuu sinun koneesi kautta ja vaikka se olisikin Nordean mielestä turvallinen , se on silti sinun vastuulla ja 	Nordea 	ei vastaa mitään siitä jos se murto tapahtuisi turvalliseksi säädetyn oman koneen kautta . 
	Nordean 	verkkopankissa kun laittaa maksua ulkomaille niin viite-kohtaa ei edes ole , ainoastaan viesti . 
	Nordeakin 	ilmeisesti havittelee samaa : pois lähikunnista . 
En sitä mihinkään tarvitse kun on 	Nordean 	Mastercard , jota sitäkin käytän vaan maksuaikakorttina , enkä sitäkään vielä koskaan ole päästänyt luottopuolelle , jolloin sekin on Nordean avainasiakkaalle täysin maksuton . 
En sitä mihinkään tarvitse kun on Nordean Mastercard , jota sitäkin käytän vaan maksuaikakorttina , enkä sitäkään vielä koskaan ole päästänyt luottopuolelle , jolloin sekin on 	Nordean 	avainasiakkaalle täysin maksuton . 
S-Pankki ja 	Nordea 	ostaa DanskeBankin liiketoiminnan Suomessa . 
Yksityiset menee S-Pankille & yritykset 	Nordealle 	, 
Jos kotimaiset toimijat ostais jotain , niin siinä kävis niin , että jako menis kaiketi OP , 	Nordean 	ja Optian kesken . 
Jos kotimaiset toimijat ostais jotain , niin siinä kävis niin , että jako menis kaiketi OP , 	Nordean 	ja Optian kesken . 
Dansken ylisuolattuja pommilainoja ei halua kukaan , 	Nordealla 	niitä on jo tarpeeksi . 
OP ryhmän suolaisuus on sekin 	Nordea 	luokkaa . 
Ei sitä Danskea mikään osuuskassa kykene ostamaan ja 	Nordea 	ei voi ostaa - EU ei antaisi ostolle lupaa . 
Eilen 	Nordea 	maksoi enemmän S-pankki maksaa yli 19000 € talletukselle 5% vuosikoron varmaan kuukauden takainen talletuksesi , silloin kaikki antoi 5 , 5 % tai yli , op sain silloin yli 5 , 4 + ne platinabonukset , eli aivan samaa . 
eilen antoi s-pankki 4.2 % , 	Nordea 	4 , 4 % , talletin nyt nyt vain 6 ja 9 kk määräajaksi , jos vaikka olisi käyttöä rahalle kesällä . 
ankan kirjoittamassa viestissä alemmassa ketjussa jossa käsiteltiin 	Nordean 	johtajien palkkoja ! 
Pankki perii tästä käsittelykuluja 5 euroa/kk Missään OP ei peritä tuollaisia kuluja yksityishenkilöiltä , eikä missään muussakaan pankissa , ( 	Nordea 	Sampo Tapiola Säästöpankit yms. ) Sinulla lienee ehkä joku yritystili , jossa on muita palveluja , muuta mahdollisuutta ei ole . 
[niin ei missään OP , ei missään muussakaan pankissa Sampo , 	Nordea 	, ei missään] 
Joku 	Nordea 	ja OP voisi harkita pankkikonttoreidensa sulkemista ja asiakaspalvelun siirtämistä , vaikka Citymarketteihin . 
	Nordealta 	ei ole Mulle on ainakin kelvannut hyvin S-Pankin maksama 2 , 5 % korko PÄIVÄSALDOLLE . 
	Nordeakin 	voisi tehdä saman , niin asiakkat olisivat tyytyväisiä . :) 
Sekin 	Nordean 	pankinjohtaja on jo eronnut , joka julkisuudessa väitti , että käyttötilikoroilla ei ole merkitystä . 
Täytyy muuten varoa , että 	Nordea 	ei tee lehmäveljeksiä jatkossa . 
Kunpa ei olisi 	Nordea 	taas kohta valtion pussilla tukia inumassa . 
Omat tietoni perustuvat joka suuntaan pankkien 	Nordea 	, Sampo , Aktia , Tapiola ja S-Pankki välillä . 
Minä kun tiedän jotain sentään kun olen siirtänyt kahden pankin välillä rahaa , S-pankista 	Nordeaan 	ja Nordeasta S-pankkiin . 
Minä kun tiedän jotain sentään kun olen siirtänyt kahden pankin välillä rahaa , S-pankista Nordeaan ja 	Nordeasta 	S-pankkiin . 
S-pankin ja OP asiakkaat puolustavat ja toitottavat simona rillit huurussa oman pankkinsa paremmuutta , taisipa joku 	nordealainenkin 	olla joukossa . 
Onko 	Nordealla 	talletusautomaattia , mihin tunkee rahat ja ne menee tilille ? 
OP tai 	Nordea 	? 
Kun käy vaan Sampo 	Nordea 	ja Dansken kortti . 
2013 lopulla tuli , talletukset toimii nyt : DanskeBank , OP sekä 	Nordea 	, 
Miten suhtautui 	Nordea 	pankki ? 
Miksi muuten mainitset vain OP : n ja 	Nordean 	? 
Jos olet sitä mieltä että olet oikeassa , pyydä tuota ystävääsi valittamaan Fivaan siitä että häntä eivät OP ja 	Nordea 	huolineet asiakkaaksi . 
ja mä saan 	nordea 	elektronin !!!!!! 
	Nordea 	pankilla on tällä hetkellä kaksi mobiili sovellusta . 
700 euroa ) tililleni 	Nordeassa 	, mutta tänään huomasin , etteivät rahat olleetkaan tulleet . 
Vaan kylläpä tuo ainakin 	Nordean 	pankeissa kelpaa todisteeksi . 
	Nordeassa 	pikasiirto on 15 eur , käytä sitä jos on kiire tai tee rahansiirto 2 päivää aikaisemmin . 
Olin aiemmin ollut 	Nordean 	passiivinen asias ( mm palkka juoksee heille , kortti ja opintolaina ) mutta asuntolaina muualla , Aktiaan ei mitään pitoa . 
	Nordeaan 	tapaaminen järjestyi puhelimessa , Aktia soitti päivän kuluttua sähköisestä yhteydenotosta perään ja sovittiin tapaaminen . 
	Nordeassa 	on henkilökohtainen pankkineuvoja - konsepti ja kanta- ja avainasiakkuuksia . 
	Nordean 	vastaukset lisäkysymyksiin piti esittää " verkkopankin kautta " ja vastaukset olivat valtaosin ei-ratkaisuun pyrkiviä ja vaikuttivat siltä , että virkailija halusi minimoida omaa työtään . 
